stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
stop_1_1,,"Grodzki Urząd Pracy","",50.0873,20.0596,,,0,,,,
stop_1_2,,"Grodzki Urząd Pracy","",50.0874,20.0597,,,0,,,,
stop_2_4,,"Kościuszkowców","",50.016651,19.929831,,,0,,,,
stop_2_5,,"Kościuszkowców","",50.015661,19.929342,,,0,,,,
stop_3_6,,"Solvay","",50.014606,19.927852,,,0,,,,
stop_3_7,,"Solvay","",50.014546,19.927822,,,0,,,,
stop_4_8,,"Stefana Batorego","",50.066586,19.929432,,,0,,,,
stop_4_9,,"Stefana Batorego","",50.067023,19.928837,,,0,,,,
stop_5_10,,"Nullo","",50.060001,19.966793,,,0,,,,
stop_5_11,,"Nullo","",50.060173,19.967382,,,0,,,,
stop_6_12,,"Gałczyńskiego","",50.0692,20.012191,,,0,,,,
stop_6_13,,"Gałczyńskiego","",50.069417,20.012742,,,0,,,,
stop_8_15,,"AKF / PK","",50.073967,19.99881,,,0,,,,
stop_8_16,,"AKF / PK","",50.074015,19.998685,,,0,,,,
stop_9_17,,"Zalew Nowohucki","",50.076158,20.052488,,,0,,,,
stop_9_18,,"Zalew Nowohucki","",50.076232,20.052439,,,0,,,,
stop_11_22,,"Kampus UP JP II","",50.020377,19.897505,,,0,,,,
stop_11_23,,"Kampus UP JP II","",50.020825,19.898122,,,0,,,,
stop_183_6119,,"Bratysławska","",50.08373,19.93416,,,0,,,,
stop_183_6129,,"Bratysławska","",50.084645,19.933583,,,0,,,,
stop_186_7019,,"Dworzec Towarowy","",50.075988,19.940292,,,0,,,,
stop_186_7029,,"Dworzec Towarowy","",50.07592,19.94038,,,0,,,,
stop_186_7039,,"Dworzec Towarowy","",50.074994,19.93968,,,0,,,,
stop_187_7119,,"Nowy Kleparz","",50.07349,19.93663,,,0,,,,
stop_187_7129,,"Nowy Kleparz","",50.073508,19.936452,,,0,,,,
stop_188_7219,,"Pędzichów","",50.069678,19.937536,,,0,,,,
stop_188_7229,,"Pędzichów","",50.069646,19.937499,,,0,,,,
stop_189_7319,,"Politechnika","",50.071341,19.945059,,,0,,,,
stop_189_7329,,"Politechnika","",50.070807,19.945062,,,0,,,,
stop_189_7339,,"Politechnika","",50.071143,19.945072,,,0,,,,
stop_189_7349,,"Politechnika","",50.071056,19.945016,,,0,,,,
stop_191_7729,,"Teatr Bagatela","",50.063806,19.933366,,,0,,,,
stop_191_7739,,"Teatr Bagatela","",50.063755,19.932586,,,0,,,,
stop_193_7919,,"Plac Inwalidów","",50.068728,19.926981,,,0,,,,
stop_193_7929,,"Plac Inwalidów","",50.069585,19.925897,,,0,,,,
stop_194_8319,,"Urzędnicza","",50.071879,19.919754,,,0,,,,
stop_194_8329,,"Urzędnicza","",50.071957,19.91925,,,0,,,,
stop_195_8419,,"Biprostal","",50.072862,19.916075,,,0,,,,
stop_195_8429,,"Biprostal","",50.07309,19.915045,,,0,,,,
stop_198_8919,,"Bronowice","",50.077246,19.901982,,,0,,,,
stop_198_8929,,"Bronowice","",50.077751,19.900684,,,0,,,,
stop_198_8939,,"Bronowice","",50.077834,19.900593,,,0,,,,
stop_199_11219,,"Stella-Sawickiego","",50.074273,20.004747,,,0,,,,
stop_199_11229,,"Stella-Sawickiego","",50.074302,20.00459,,,0,,,,
stop_202_12419,,"Cmentarz Rakowicki","",50.074262,19.957387,,,0,,,,
stop_202_12429,,"Cmentarz Rakowicki","",50.072948,19.956041,,,0,,,,
stop_203_12519,,"Rondo Mogilskie","",50.065782,19.959639,,,0,,,,
stop_203_12529,,"Rondo Mogilskie","",50.065759,19.959864,,,0,,,,
stop_203_12539,,"Rondo Mogilskie","",50.064865,19.959303,,,0,,,,
stop_203_12549,,"Rondo Mogilskie","",50.064973,19.959357,,,0,,,,
stop_203_12559,,"Rondo Mogilskie","",50.066002,19.958722,,,0,,,,
stop_204_12619,,"Lubicz","",50.065186,19.952104,,,0,,,,
stop_204_12629,,"Lubicz","",50.065046,19.951094,,,0,,,,
stop_204_12639,,"Lubicz","",50.065436,19.951621,,,0,,,,
stop_205_12719,,"Uniwersytet Ekonomiczny","",50.067608,19.952235,,,0,,,,
stop_205_12729,,"Uniwersytet Ekonomiczny","",50.068328,19.952638,,,0,,,,
stop_207_12919,,"Cystersów","",50.066523,19.970519,,,0,,,,
stop_207_12929,,"Cystersów","",50.06654,19.969149,,,0,,,,
stop_208_13019,,"Białucha","",50.067841,19.977991,,,0,,,,
stop_208_13029,,"Białucha","",50.067597,19.977192,,,0,,,,
stop_210_13319,,"Wesele","",50.078856,19.897857,,,0,,,,
stop_210_13329,,"Wesele","",50.079235,19.896704,,,0,,,,
stop_212_13519,,"Bronowice Małe","",50.08179,19.88192,,,0,,,,
stop_213_31119,,"Salwator","",50.052708,19.913739,,,0,,,,
stop_213_31129,,"Salwator","",50.052724,19.915028,,,0,,,,
stop_213_31139,,"Salwator","",50.05263,19.917407,,,0,,,,
stop_214_31319,,"Komorowskiego","",50.053451,19.921873,,,0,,,,
stop_214_31329,,"Komorowskiego","",50.053384,19.921893,,,0,,,,
stop_216_31919,,"Jubilat","",50.055498,19.928109,,,0,,,,
stop_216_31929,,"Jubilat","",50.054999,19.927052,,,0,,,,
stop_219_32219,,"Filharmonia","",50.05903,19.93387,,,0,,,,
stop_219_32229,,"Filharmonia","",50.058666,19.933001,,,0,,,,
stop_221_32519,,"Wawel","",50.05449,19.93963,,,0,,,,
stop_221_32529,,"Wawel","",50.054324,19.939295,,,0,,,,
stop_222_35719,,"Poczta Główna","",50.059797,19.942404,,,0,,,,
stop_222_35729,,"Poczta Główna","",50.059205,19.942571,,,0,,,,
stop_222_35739,,"Poczta Główna","",50.059339,19.941821,,,0,,,,
stop_223_35819,,"Starowiślna","",50.05731,19.94455,,,0,,,,
stop_223_35829,,"Starowiślna","",50.05689,19.945029,,,0,,,,
stop_223_35839,,"Starowiślna","",50.057227,19.946086,,,0,,,,
stop_223_35849,,"Starowiślna","",50.057262,19.946032,,,0,,,,
stop_224_35929,,"Stradom","",50.052086,19.941166,,,0,,,,
stop_224_35939,,"Stradom","",50.052258,19.942061,,,0,,,,
stop_224_35949,,"Stradom","",50.050842,19.942415,,,0,,,,
stop_225_36019,,"Plac Wolnica","",50.048028,19.943426,,,0,,,,
stop_225_36029,,"Plac Wolnica","",50.048114,19.943448,,,0,,,,
