trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
block_4_trip_1_service_3,route_806,service_3,Zaj. Nowa Huta,"",0,block_4,shape_23367,0
block_4_trip_2_service_3,route_806,service_3,Bronowice Małe,"",0,block_4,shape_23362,0
block_4_trip_3_service_3,route_806,service_3,Zaj. Nowa Huta,"",1,block_4,shape_23363,0
block_4_trip_4_service_3,route_806,service_3,Bronowice Małe,"",0,block_4,shape_23362,0
block_4_trip_5_service_3,route_806,service_3,Zaj. Nowa Huta,"",1,block_4,shape_23363,0
block_4_trip_6_service_3,route_806,service_3,Bronowice Małe,"",0,block_4,shape_23362,0
block_4_trip_7_service_3,route_806,service_3,Zaj. Nowa Huta,"",1,block_4,shape_23363,0
block_4_trip_8_service_3,route_806,service_3,Bronowice Małe,"",0,block_4,shape_23362,0
block_4_trip_9_service_3,route_806,service_3,Zaj. Nowa Huta,"",1,block_4,shape_23363,0
block_4_trip_10_service_3,route_806,service_3,Bronowice Małe,"",0,block_4,shape_23362,0
block_4_trip_11_service_3,route_806,service_3,Zaj. Nowa Huta,"",1,block_4,shape_23363,0
block_4_trip_12_service_3,route_806,service_3,Bronowice Małe,"",0,block_4,shape_23362,0
block_4_trip_13_service_3,route_806,service_3,Zaj. Nowa Huta,"",1,block_4,shape_23363,0
block_4_trip_14_service_3,route_806,service_3,Zaj. Nowa Huta,"",0,block_4,shape_23364,0
block_10_trip_1_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_72,0
block_10_trip_2_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_3_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
block_10_trip_4_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_5_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
block_10_trip_6_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_7_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
block_10_trip_8_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_9_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
block_10_trip_10_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_11_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
block_10_trip_12_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_13_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
block_10_trip_14_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_15_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
block_10_trip_16_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_17_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
block_10_trip_18_service_3,route_942,service_3,Jarzębiny,"",1,block_10,shape_59,0
block_10_trip_19_service_3,route_942,service_3,Krowodrza G. P+R,"",0,block_10,shape_58,0
