osmid,lat,lon,label
13822575,50.0820515,20.0325687,RoadNode
13822576,50.0807047,20.0343368,RoadNode
13822577,50.0794004,20.036068,RoadNode
13822694,50.0813635,20.0355922,RoadNode
13823455,50.0789095,20.0395428,RoadNode
13823459,50.0717232,20.0365287,RoadNode
13823461,50.07154,20.0378618,RoadNode
13823470,50.0808322,20.0355497,RoadNode
13823472,50.0800576,20.035967,RoadNode
13823473,50.0798089,20.0354965,RoadNode
26582151,50.1015167,19.8649992,RoadNode
26582152,50.1005333,19.8664912,RoadNode
29782991,50.0767762,20.0312245,RoadNode
29782994,50.0796145,20.0279345,RoadNode
29782997,50.0800244,20.0275829,RoadNode
29783001,50.085184,20.0198378,RoadNode
29783004,50.0877074,20.0050888,RoadNode
29783009,50.0929105,19.98776,RoadNode
30371937,50.0455124,19.8597006,RoadNode
30371982,50.047511,19.888081,RoadNode
30372002,50.0488,19.9015567,RoadNode
30372004,50.0490902,19.9035617,RoadNode
30372041,50.0499083,19.9058877,RoadNode
30372044,50.0503568,19.9065832,RoadNode
30372075,50.0540175,19.9240417,RoadNode
30372078,50.0546182,19.9260956,RoadNode
30372085,50.0576389,19.9307172,RoadNode
30372096,50.0589145,19.9412054,RoadNode
30375871,50.0624762,19.9410176,RoadNode
30375873,50.0632437,19.9415766,RoadNode
30376958,50.0569854,19.9340511,RoadNode
30376964,50.0491893,19.9041208,RoadNode
30376973,50.0362127,19.8135609,RoadNode
31349948,50.1087996,19.965577,RoadNode
31349949,50.101704,19.9633694,RoadNode
31349957,50.0732702,19.943999,RoadNode
31349963,50.0713418,19.9286896,RoadNode
31349978,50.0485712,19.9319121,RoadNode
31349982,50.0489112,19.9327293,RoadNode
31349996,50.0516589,19.941806,RoadNode
31349999,50.0501943,19.9426446,RoadNode
31350002,50.0472837,19.9407346,RoadNode
32063262,50.0822019,20.032364,RoadNode
32063271,50.0794723,20.0278741,RoadNode
32063274,50.0800252,20.0273936,RoadNode
32063285,50.0898015,19.9883809,RoadNode
32063290,50.092435,19.9845105,RoadNode
32063291,50.093579,19.9841492,RoadNode
32063293,50.0936465,19.9846023,RoadNode
32063314,50.0934489,20.0060705,RoadNode
32063316,50.0934678,20.0070606,RoadNode
32063322,50.0941582,20.0127164,RoadNode
32063325,50.0923452,20.0156055,RoadNode
32063326,50.09121,20.0175024,RoadNode
32063341,50.0888263,20.0271705,RoadNode
32063350,50.0846365,20.0289466,RoadNode
32063367,50.0870916,20.0072484,RoadNode
32063372,50.08787,20.0031408,RoadNode
32063393,50.0860348,19.954471,RoadNode
32063403,50.0792427,20.0272759,RoadNode
32063405,50.0792376,20.0271249,RoadNode
32063406,50.079619,20.0267298,RoadNode
32063411,50.0797728,20.0267947,RoadNode
